"sc_id";"sc_name";"sc_type";"sc_num"
1;"ทักษะการสอนและการให้คำปรึกษาแก่นักศึกษา";"อาจารย์";3
2;"ทักษะการสอนและการให้คำปรึกษาแก่นักศึกษา";"ผู้ช่วยศาสตราจารย์";4
3;"ทักษะการสอนและการให้คำปรึกษาแก่นักศึกษา";"รองศาสตราจารย์";4
4;"ทักษะการสอนและการให้คำปรึกษาแก่นักศึกษา";"ศาสตราจารย์";4
5;"ทักษะด้านบริการวิชาการ การวิจัยและนวัตกรรม";"อาจารย์";3
6;"ทักษะด้านบริการวิชาการ การวิจัยและนวัตกรรม";"ผู้ช่วยศาสตราจารย์";4
7;"ทักษะด้านบริการวิชาการ การวิจัยและนวัตกรรม";"รองศาสตราจารย์";4
8;"ทักษะด้านบริการวิชาการ การวิจัยและนวัตกรรม";"ศาสตราจารย์";4
9;"ความรู้ความเชี่ยวชาญด้านวิชาการ";"อาจารย์";3
10;"ความรู้ความเชี่ยวชาญด้านวิชาการ";"ผู้ช่วยศาสตราจารย์";4
11;"ความรู้ความเชี่ยวชาญด้านวิชาการ";"รองศาสตราจารย์";4
12;"ความรู้ความเชี่ยวชาญด้านวิชาการ";"ศาสตราจารย์";4
13;"ความกระตือรือร้นและการเป็นแบบอย่างที่ดี";"อาจารย์";3
14;"ความกระตือรือร้นและการเป็นแบบอย่างที่ดี";"ผู้ช่วยศาสตราจารย์";3
15;"ความกระตือรือร้นและการเป็นแบบอย่างที่ดี";"รองศาสตราจารย์";4
16;"ความกระตือรือร้นและการเป็นแบบอย่างที่ดี";"ศาสตราจารย์";4
17;"ทำนุบำรุงศิลปวัฒนธรรม";"อาจารย์";3
18;"ทำนุบำรุงศิลปวัฒนธรรม";"ผู้ช่วยศาสตราจารย์";4
19;"ทำนุบำรุงศิลปวัฒนธรรม";"รองศาสตราจารย์";4
20;"ทำนุบำรุงศิลปวัฒนธรรม";"ศาสตราจารย์";4
